checking,researcher,study2013,study2017,study2020,study2022,outcome,reference,doi,pub_year,start_date,end_date,location1,location2,coordinate1,coordinate2,dd_lat,dd_long,region1,region2,climate1,climate2,map1,map2,gai,gradient1,gradient2,n_type,n_sp_paper,n_sp,n_sp_LCVP,n_family_paper,n_family,n_family_LCVP,n_lifeform1,n_lifeform2,n_lifeform3,n_origin1,n_origin2,n_origin3,n_lifestage,t_sp_paper,t_sp,t_sp_LCVP,t_family_paper,t_family,t_family_LCVP,t_lifeform1,t_lifeform2,t_lifeform3,t_origin1,t_origin2,t_origin3,t_lifestage1,t_lifestage2,t_lifestage3,lifeform1_similarity,lifeform2_similarity,lifestage_n_t,interaction_type,performance1,performance2,study_type,duration,net_interaction,last_year,obs,suitable_meta,suitable_meta_reason,suitable_for_master_project,suitable_master_reason,target_sp_plot,data_location,differences_within_outcomes,cID,nID,MEANc,MEANn,SDc,SDn,Nc,Nn,SE_c,SE_n,sucess_c,sucess_n,fail_c,fail_n,data_type,ask_data,status_oct2017,status_email,answer_obs
dri -> Marina,luanne,86_na,215,215,215,215_09,Yu_et_al._2009,10.2980/16-3-3277,2009,nov/2000,may/2001,"Poleg Stream Nature Reserve, Israel",Israel,32°03'N,34°45'E,"32,05","34,75",not informed,temperate,mediterranean,mediterranean,450,450,"0,295",matrix of shrubs and open stabilized pacthes dominated by herbaceous plants,2,isolated_obs,Retama raetam,retama raetam,,not informed,completar,,shrub,shrub,woody,native,native_study,native,adult,Maresia pulchella,maresia pulchella,,not informed,completar,,not informed (but see http://www.flowersinisrael.com/Maresiapulchella_page.htm),forb,herb,"not informed, assumed native because it occurs on the surrounding region (see http://flora.org.il/en/plants/MARPUL/ AND Wikipedia https://en.wikipedia.org/wiki/List_of_endemic_flora_of_Israel) (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:286826-1#distribution-map)",native_country,native,seedling,seedling,seedling,0,0,adult_seedling,inter,density (m²),abundance,observational,140,negative,2001,"The study also has data for temporal patterns of germination and found that seedling phenology (i.e., germination) of trail species occurred at an earlier date and those of shrub understoreys lagged behind in comparison to those in the open areas.",yes,yes,yes,,single sps,figure 4,different target species,215_13,215_13,90.70,0.00,26.00,0.00,40.00,40.00,4.11,0.00,NA,NA,NA,NA,hedges_d,asked in 2017 and 2023,ok,sent in 2017 and 2023,the authors said it was SD and answered the life stage
dri -> Marina,luanne,86_na,215,215,215,215_10,Yu_et_al._2009,10.2980/16-3-3277,2009,nov/2000,may/2001,"Poleg Stream Nature Reserve, Israel",Israel,32°03'N,34°45'E,"32,05","34,75",not informed,temperate,mediterranean,mediterranean,450,450,"0,295",matrix of shrubs and open stabilized pacthes dominated by herbaceous plants,2,isolated_obs,Retama raetam,retama raetam,,not informed,completar,,shrub,shrub,woody,native,native_study,native,adult,Plantago psyllium,plantago indica,,not informed,completar,,not informed (but see http://www.flowersinisrael.com/Plantagoafra_page.htm),forb,herb,not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:685262-1#distribution-map),native_country,native,seedling,seedling,seedling,0,0,adult_seedling,inter,density (m²),abundance,observational,140,negative,2001,"The study also has data for temporal patterns of germination and found that seedling phenology (i.e., germination) of trail species occurred at an earlier date and those of shrub understoreys lagged behind in comparison to those in the open areas.",yes,yes,yes,,single sps,figure 4,different target species,215_01,215_01,154.00,15.40,44.00,5.20,40.00,40.00,6.96,0.82,NA,NA,NA,NA,hedges_d,asked in 2017 and 2024,ok,sent in 2017 and 2024,the authors said it was SD and answered the life stage
dri -> Marina,luanne,86_na,215,215,215,215_11,Yu_et_al._2009,10.2980/16-3-3277,2009,nov/2000,may/2001,"Poleg Stream Nature Reserve, Israel",Israel,32°03'N,34°45'E,"32,05","34,75",not informed,temperate,mediterranean,mediterranean,450,450,"0,295",matrix of shrubs and open stabilized pacthes dominated by herbaceous plants,2,isolated_obs,Retama raetam,retama raetam,,not informed,completar,,shrub,shrub,woody,native,native_study,native,adult,Polycarpon succulentum,polycarpon succulentum,,not informed,completar,,not informed (but see http://www.flowersinisrael.com/Polycarponsucculentum_page.htm),forb,herb,not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:156235-1),native_country,native,seedling,seedling,seedling,0,0,adult_seedling,inter,density (m²),abundance,observational,140,neutral,2001,"The study also has data for temporal patterns of germination and found that seedling phenology (i.e., germination) of trail species occurred at an earlier date and those of shrub understoreys lagged behind in comparison to those in the open areas.",yes,yes,yes,,single sps,figure 4,different target species,215_02,215_02,86.30,8.63,26.70,0.00,40.00,40.00,4.22,0.00,NA,NA,NA,NA,hedges_d,asked in 2017 and 2030,ok,sent in 2017 and 2030,the authors said it was SD and answered the life stage
dri -> Marina,luanne,86_na,215,215,215,215_12,Yu_et_al._2009,10.2980/16-3-3277,2009,nov/2000,may/2001,"Poleg Stream Nature Reserve, Israel",Israel,32°03'N,34°45'E,"32,05","34,75",not informed,temperate,mediterranean,mediterranean,450,450,"0,295",matrix of shrubs and open stabilized pacthes dominated by herbaceous plants,2,isolated_obs,Retama raetam,retama raetam,,not informed,completar,,shrub,shrub,woody,native,native_study,native,adult,Arenaria leptocladus,arenaria serpyllifolia,,not informed,completar,,not informed (but see pictures in Google),forb,herb,"not informed, assumed native because it is native to surrounding countries (see http://www.theplantlist.org/tpl1.1/record/kew-2649652 AND http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:303826-2)",native_country,native,seedling,seedling,seedling,0,0,adult_seedling,inter,density (m²),abundance,observational,140,negative,2001,"The study also has data for temporal patterns of germination and found that seedling phenology (i.e., germination) of trail species occurred at an earlier date and those of shrub understoreys lagged behind in comparison to those in the open areas.",yes,yes,yes,,single sps,figure 4,different target species,215_03,215_03,146.00,41.70,44.70,17.30,40.00,40.00,7.07,2.74,NA,NA,NA,NA,hedges_d,asked in 2017 and 2025,ok,sent in 2017 and 2025,the authors said it was SD and answered the life stage
dri -> Marina,luanne,86_na,215,215,215,215_13,Yu_et_al._2009,10.2980/16-3-3277,2009,nov/2000,may/2001,"Poleg Stream Nature Reserve, Israel",Israel,32°03'N,34°45'E,"32,05","34,75",not informed,temperate,mediterranean,mediterranean,450,450,"0,295",matrix of shrubs and open stabilized pacthes dominated by herbaceous plants,2,isolated_obs,Retama raetam,retama raetam,,not informed,completar,,shrub,shrub,woody,native,native_study,native,adult,Cutandia philistaea,desmazeria philistaea,,not informed,completar,,not informed (but see http://apps.kew.org/herbcat/getHomePageResults.do?homePageSearchText=Desmazeria+philistaea),graminoid,herb,"not informed, assumed native (see http://www.theplantlist.org/tpl1.1/record/kew-407854 AND http://www.bioone.org/doi/pdf/10.3372/wi.39.39211 AND http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:398079-1#distribution-map)",native_country,native,seedling,seedling,seedling,0,0,adult_seedling,inter,density (m²),abundance,observational,140,neutral,2001,"The study also has data for temporal patterns of germination and found that seedling phenology (i.e., germination) of trail species occurred at an earlier date and those of shrub understoreys lagged behind in comparison to those in the open areas.",yes,yes,yes,,single sps,figure 4,different target species,215_04,215_04,88.40,79.00,26.90,57.70,40.00,40.00,4.25,9.12,NA,NA,NA,NA,hedges_d,asked in 2017 and 2031,ok,sent in 2017 and 2031,the authors said it was SD and answered the life stage
dri -> Marina,luanne,86_na,215,215,215,215_14,Yu_et_al._2009,10.2980/16-3-3277,2009,nov/2000,may/2001,"Poleg Stream Nature Reserve, Israel",Israel,32°03'N,34°45'E,"32,05","34,75",not informed,temperate,mediterranean,mediterranean,450,450,"0,295",matrix of shrubs and open stabilized pacthes dominated by herbaceous plants,2,isolated_obs,Retama raetam,retama raetam,,not informed,completar,,shrub,shrub,woody,native,native_study,native,adult,Crepis aculeata,crepis aculeata,,not informed,completar,,not informed (but see http://www.flowersinisrael.com/Crepisaculeata_page.htm),forb,herb,not informed (but see http://dx.doi.org/10.1080/07929978.2016.1275362),native_coastal,native,seedling,seedling,seedling,0,0,adult_seedling,inter,density (m²),abundance,observational,140,negative,2001,"The study also has data for temporal patterns of germination and found that seedling phenology (i.e., germination) of trail species occurred at an earlier date and those of shrub understoreys lagged behind in comparison to those in the open areas.",yes,yes,yes,,single sps,figure 4,different target species,215_05,215_05,180.00,44.50,46.00,20.60,40.00,40.00,7.27,3.26,NA,NA,NA,NA,hedges_d,asked in 2017 and 2026,ok,sent in 2017 and 2026,the authors said it was SD and answered the life stage
dri -> Marina,luanne,86_na,215,215,215,215_15,Yu_et_al._2009,10.2980/16-3-3277,2009,nov/2000,may/2001,"Poleg Stream Nature Reserve, Israel",Israel,32°03'N,34°45'E,"32,05","34,75",not informed,temperate,mediterranean,mediterranean,450,450,"0,295",matrix of shrubs and open stabilized pacthes dominated by herbaceous plants,2,isolated_obs,Retama raetam,retama raetam,,not informed,completar,,shrub,shrub,woody,native,native_study,native,adult,Rumex bucephalophorus,rumex bucephalophorus,,not informed,completar,,not informed (but see http://www.flowersinisrael.com/Rumexbucephalophorus_page.htm),forb,herb,not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:696956-1),native_country,native,seedling,seedling,seedling,0,0,adult_seedling,inter,density (m²),abundance,observational,140,negative,2001,"The study also has data for temporal patterns of germination and found that seedling phenology (i.e., germination) of trail species occurred at an earlier date and those of shrub understoreys lagged behind in comparison to those in the open areas.",yes,yes,yes,,single sps,figure 4,different target species,215_06,215_06,203.00,24.00,75.00,8.50,40.00,40.00,11.86,1.34,NA,NA,NA,NA,hedges_d,asked in 2017 and 2027,ok,sent in 2017 and 2027,the authors said it was SD and answered the life stage
dri -> Marina,luanne,86_na,215,215,215,215_16,Yu_et_al._2009,10.2980/16-3-3277,2009,nov/2000,may/2001,"Poleg Stream Nature Reserve, Israel",Israel,32°03'N,34°45'E,"32,05","34,75",not informed,temperate,mediterranean,mediterranean,450,450,"0,295",matrix of shrubs and open stabilized pacthes dominated by herbaceous plants,2,isolated_obs,Retama raetam,retama raetam,,not informed,completar,,shrub,shrub,woody,native,native_study,native,adult,Fumaria judaica,fumaria judaica,,not informed,completar,,not informed (but see http://www.flowersinisrael.com/Fumariajudaica_page.htm),forb,herb,"not informed, probably native (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:672988-1)",native_country,native,seedling,seedling,seedling,0,0,adult_seedling,inter,density (m²),abundance,observational,140,positive,2001,"The study also has data for temporal patterns of germination and found that seedling phenology (i.e., germination) of trail species occurred at an earlier date and those of shrub understoreys lagged behind in comparison to those in the open areas.",yes,yes,yes,,single sps,figure 4,different target species,215_07,215_07,20.80,80.00,5.20,26.00,40.00,40.00,0.82,4.11,NA,NA,NA,NA,hedges_d,asked in 2017 and 2033,ok,sent in 2017 and 2033,the authors said it was SD and answered the life stage
dri -> Marina,luanne,86_na,215,215,215,215_17,Yu_et_al._2009,10.2980/16-3-3277,2009,nov/2000,may/2001,"Poleg Stream Nature Reserve, Israel",Israel,32°03'N,34°45'E,"32,05","34,75",not informed,temperate,mediterranean,mediterranean,450,450,"0,295",matrix of shrubs and open stabilized pacthes dominated by herbaceous plants,2,isolated_obs,Retama raetam,retama raetam,,not informed,completar,,shrub,shrub,woody,native,native_study,native,adult,Anagallis arvensis,anagallis arvensis,,not informed,completar,,not informed (but see http://www.flowersinisrael.com/Anagallisarvensis_page.htm),forb,herb,not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77100386-1#distribution-map),native_country,native,seedling,seedling,seedling,0,0,adult_seedling,inter,density (m²),abundance,observational,140,neutral,2001,"The study also has data for temporal patterns of germination and found that seedling phenology (i.e., germination) of trail species occurred at an earlier date and those of shrub understoreys lagged behind in comparison to those in the open areas.",yes,yes,yes,,single sps,figure 4,different target species,215_08,215_08,160.00,124.00,39.00,43.00,40.00,40.00,6.17,6.80,NA,NA,NA,NA,hedges_d,asked in 2017 and 2032,ok,sent in 2017 and 2032,the authors said it was SD and answered the life stage
dri -> Marina,luanne,86_na,215,215,215,215_18,Yu_et_al._2009,10.2980/16-3-3277,2009,nov/2000,may/2001,"Poleg Stream Nature Reserve, Israel",Israel,32°03'N,34°45'E,"32,05","34,75",not informed,temperate,mediterranean,mediterranean,450,450,"0,295",matrix of shrubs and open stabilized pacthes dominated by herbaceous plants,2,isolated_obs,Retama raetam,retama raetam,,not informed,completar,,shrub,shrub,woody,native,native_study,native,adult,Valantia hispida,valantia hispida,,not informed,completar,,not informed (but see http://www.flowersinisrael.com/Valantiahispida_page.htm),forb,herb,not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:769659-1),native_country,native,seedling,seedling,seedling,0,0,adult_seedling,inter,density (m²),abundance,observational,140,positive,2001,"The study also has data for temporal patterns of germination and found that seedling phenology (i.e., germination) of trail species occurred at an earlier date and those of shrub understoreys lagged behind in comparison to those in the open areas.",yes,yes,yes,,single sps,figure 4,different target species,215_09,215_09,0.00,282.00,1.50,86.50,40.00,40.00,0.24,13.68,NA,NA,NA,NA,hedges_d,asked in 2017 and 2034,ok,sent in 2017 and 2034,the authors said it was SD and answered the life stage
dri -> Marina,luanne,86_na,215,215,215,215_19,Yu_et_al._2009,10.2980/16-3-3277,2009,nov/2000,may/2001,"Poleg Stream Nature Reserve, Israel",Israel,32°03'N,34°45'E,"32,05","34,75",not informed,temperate,mediterranean,mediterranean,450,450,"0,295",matrix of shrubs and open stabilized pacthes dominated by herbaceous plants,2,isolated_obs,Retama raetam,retama raetam,,not informed,completar,,shrub,shrub,woody,native,native_study,native,adult,Trifolium palaestinum,trifolium palaestinum,,not informed,completar,,not informed (but see http://www.flowersinisrael.com/Trifoliumpalaestinum_page.htm),forb,herb,not informed (but see http://dx.doi.org/10.1080/07929978.2016.1275362),native_coastal,native,seedling,seedling,seedling,0,0,adult_seedling,inter,density (m²),abundance,observational,140,negative,2001,"The study also has data for temporal patterns of germination and found that seedling phenology (i.e., germination) of trail species occurred at an earlier date and those of shrub understoreys lagged behind in comparison to those in the open areas.",yes,yes,yes,,single sps,figure 4,different target species,215_10,215_10,216.00,11.60,73.00,3.10,40.00,40.00,11.54,0.49,NA,NA,NA,NA,hedges_d,asked in 2017 and 2028,ok,sent in 2017 and 2028,the authors said it was SD and answered the life stage
dri -> Marina,luanne,86_na,215,215,215,215_20,Yu_et_al._2009,10.2980/16-3-3277,2009,nov/2000,may/2001,"Poleg Stream Nature Reserve, Israel",Israel,32°03'N,34°45'E,"32,05","34,75",not informed,temperate,mediterranean,mediterranean,450,450,"0,295",matrix of shrubs and open stabilized pacthes dominated by herbaceous plants,2,isolated_obs,Retama raetam,retama raetam,,not informed,completar,,shrub,shrub,woody,native,native_study,native,adult,Ifloga spicata,ifloga spicata,,not informed,completar,,not informed (but see http://apps.kew.org/herbcat/detailsQuery.domageId=130480&pageCode=1&presentPage=1&queryId=2&sessionId=A554C8BD34057C4E02C7F91283C2F41B&barcode=K000274253),forb,herb,"not informed, probably native (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:225700-1#distribution-map)",native_country,native,seedling,seedling,seedling,0,0,adult_seedling,inter,density (m²),abundance,observational,140,negative,2001,"The study also has data for temporal patterns of germination and found that seedling phenology (i.e., germination) of trail species occurred at an earlier date and those of shrub understoreys lagged behind in comparison to those in the open areas.",yes,yes,yes,,single sps,figure 4,different target species,215_11,215_11,231.00,0.00,119.00,0.00,40.00,40.00,18.82,0.00,NA,NA,NA,NA,hedges_d,asked in 2017 and 2029,ok,sent in 2017 and 2029,the authors said it was SD and answered the life stage
marina,camila,82_11,219,219,219,219_05,Armas_&_Pugnaire_2009,10.1111/j.1654-1103.2009.01055.x,2009,jan/2002,2_growing_seasons_after_jan/2002,"Almeria, Spain",Spain,36°41'N,02°42'W,"36,685","-2,7",not informed,temperate,dry mediteranean,mediterranean,220,220,"0,159",top of stabilized dune (open shrub),2,patch,several,several,,not informed,several,,shrub (clump),shrub,woody,"not informed, but assumed mostly native",impossible_to_know,impossible_to_know,not informed,Juniperus phoenicea subsp. turbinata,juniperus phoenicea,,Cupressaceae,cupressaceae,,shrub,shrub,woody,not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:262307-1),native_country,native,adult,adult,not_seedling,,,,inter,survival,survival,observational,"2 growing seasons, although it's not clear it if it is the same time period/duration as the other outcomes about seedling survival (outcomes 219_01, 219_02, 219_03, 219_04)",positive,not informed,na,yes,yes,no_1,,,page 539 (seedling survival and adult mortality) for N and figure 2b for % dead plants,different target species and/or different performance estimator,219_05,219_05,NA,NA,NA,NA,602.00,1001.00,NA,NA,582.00,851.00,20.00,150.00,odds,no,ok,na,na
marina,camila,82_11,219,219,219,219_06,Armas_&_Pugnaire_2009,10.1111/j.1654-1103.2009.01055.x,2009,jan/2002,2_growing_seasons_after_jan/2002,"Almeria, Spain",Spain,36°41'N,02°42'W,"36,685","-2,7",not informed,temperate,dry mediteranean,mediterranean,220,220,"0,159",top of stabilized dune (open shrub),2,patch,several,several,,not informed,several,,shrub (clump),shrub,woody,"not informed, but assumed mostly native",impossible_to_know,impossible_to_know,not informed,Pistacia lentiscus,pistacia lentiscus,,Anacardiaceae,anacardiaceae,,shrub,shrub,woody,not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:70253-1#distribution-map),native_country,native,adult,adult,not_seedling,,,,inter,survival,survival,observational,"2 growing seasons, although it's not clear it if it is the same time period/duration as the other outcomes about seedling survival (outcomes 219_01, 219_02, 219_03, 219_04)",neutral,not informed,na,yes,yes,no_1,,,page 539 (seedling survival and adult mortality) for N and figure 2b for % dead plants,different target species and/or different performance estimator,219_06,219_06,NA,NA,NA,NA,86.00,572.00,NA,NA,84.00,558.00,2.00,14.00,odds,no,ok,na,na
marina,camila,82_11,219,219,219,219_07,Armas_&_Pugnaire_2009,10.1111/j.1654-1103.2009.01055.x,2009,jan/2002,dec/2002,"Almeria, Spain",Spain,36°41'N,02°42'W,"36,685","-2,7",not informed,temperate,dry mediteranean,mediterranean,220,220,"0,159",top of stabilized dune (open shrub),2,patch,several,several,,not informed,several,,shrub,shrub,woody,"not informed, but assumed mostly native",impossible_to_know,impossible_to_know,not informed,Juniperus phoenicea subsp. turbinata,juniperus phoenicea,,Cupressaceae,cupressaceae,,shrub,shrub,woody,not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:262307-1),native_country,native,adult,adult,not_seedling,,,,inter,growth,growth,observational,365,positive,2002,na,yes,yes,no_1,,,page 540 (growth and reproductive output),different target species and/or different performance estimator,219_07,219_07,0.48,0.60,0.09,0.12,9.00,9.00,0.03,0.04,NA,NA,NA,NA,hedges_d,no,ok,na,na
marina,camila,82_11,219,219,219,219_08,Armas_&_Pugnaire_2009,10.1111/j.1654-1103.2009.01055.x,2009,jan/2002,dec/2002,"Almeria, Spain",Spain,36°41'N,02°42'W,"36,685","-2,7",not informed,temperate,dry mediteranean,mediterranean,220,220,"0,159",top of stabilized dune (open shrub),2,patch,several,several,,not informed,several,,shrub,shrub,woody,"not informed, but assumed mostly native",impossible_to_know,impossible_to_know,not informed,Pistacia lentiscus,pistacia lentiscus,,Anacardiaceae,anacardiaceae,,shrub,shrub,woody,not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:70253-1#distribution-map),native_country,native,adult,adult,not_seedling,,,,inter,growth,growth,observational,270,neutral,2002,na,yes,yes,no_1,,,data provided by authors,different target species and/or different performance estimator,219_08,not infomed,2.06,2.25,0.33,0.27,9.00,9.00,0.11,0.09,NA,NA,NA,NA,hedges_d,no,ok,na,na
marina,camila,82_11,219,219,219,219_10,Armas_&_Pugnaire_2009,10.1111/j.1654-1103.2009.01055.x,2009,sep/2000,sep/2002,"Almeria, Spain",Spain,36°41'N,02°42'W,"36,685","-2,7",not informed,temperate,dry mediteranean,mediterranean,220,220,"0,159",top of stabilized dune (open shrub),2,patch,several,several,,not informed,several,,shrub,shrub,woody,"not informed, but assumed mostly native",impossible_to_know,impossible_to_know,not informed,Juniperus phoenicea subsp. turbinata,juniperus phoenicea,,Cupressaceae,cupressaceae,,shrub,shrub,woody,not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:262307-1),native_country,native,adult,adult,not_seedling,,,,inter,reproduction (fruit number 2002),reproduction,observational,2 years,negative,2002,na,yes,yes,no_1,,,table 3,different target species and/or different performance estimator,219_09,not informed,915.00,544.00,483.00,213.00,9.00,9.00,161.00,71.00,NA,NA,NA,NA,hedges_d,no,ok,na,na
marina,camila,82_11,219,219,219,219_21,Armas_&_Pugnaire_2009,10.1111/j.1654-1103.2009.01055.x,2009,sep/2000,sep/2002,"Almeria, Spain",Spain,36°41'N,02°42'W,"36,685","-2,7",not informed,temperate,dry mediteranean,mediterranean,220,220,"0,159",top of stabilized dune (open shrub),2,patch,several,several,,not informed,several,,shrub,shrub,woody,"not informed, but assumed mostly native",impossible_to_know,impossible_to_know,not informed,Pistacia lentiscus,pistacia lentiscus,,Anacardiaceae,anacardiaceae,,shrub,shrub,woody,not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:70253-1#distribution-map),native_country,native,adult,adult,not_seedling,,,,inter,reproduction (fruit number 2002),reproduction,observational,2 years,positive,2002,na,yes,yes,no_1,,,table 3,different target species and/or different performance estimator,219_10,219_10,15494.00,17588.00,4338.00,10452.00,9.00,9.00,1446.00,3484.00,NA,NA,NA,NA,hedges_d,no,ok,na,na
marina,camila,82_11,219,219,219,219_01,Armas_&_Pugnaire_2009,10.1111/j.1654-1103.2009.01055.x,2009,jan/2002,2_growing_seasons_after_jan/2002,"Almeria, Spain",Spain,36°41'N,02°42'W,"36,685","-2,7",not informed,temperate,dry mediteranean,mediterranean,220,220,"0,159",top of stabilized dune (open shrub),2,isolated,Juniperus phoenicea subsp. turbinata,juniperus phoenicea,,Cupressaceae,cupressaceae,,shrub,shrub,woody,not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:262307-1),native_country,native,adult,Juniperus phoenicea subsp. turbinata,juniperus phoenicea,,Cupressaceae,cupressaceae,,shrub,shrub,woody,not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:262307-1),native_country,native,seedling,seedling,seedling,1,1,adult_seedling,intra,survival,survival,experimental,2 growing seasons,positive,not informed,na,yes,yes,no_3,,single sps,data provided by authors,pair-wise combination,219_01,not informed,NA,NA,NA,NA,36.00,36.00,NA,NA,3.00,16.00,33.00,20.00,odds,no,ok,na,na
marina,camila,82_11,219,219,219,219_02,Armas_&_Pugnaire_2009,10.1111/j.1654-1103.2009.01055.x,2009,jan/2002,2_growing_seasons_after_jan/2002,"Almeria, Spain",Spain,36°41'N,02°42'W,"36,685","-2,7",not informed,temperate,dry mediteranean,mediterranean,220,220,"0,159",top of stabilized dune (open shrub),2,isolated,Juniperus phoenicea subsp. turbinata,juniperus phoenicea,,Cupressaceae,cupressaceae,,shrub,shrub,woody,not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:262307-1),native_country,native,adult,Pistacia lentiscus,pistacia lentiscus,,Anacardiaceae,anacardiaceae,,shrub,shrub,woody,not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:70253-1#distribution-map),native_country,native,seedling,seedling,seedling,1,1,adult_seedling,inter,survival,survival,experimental,2 growing seasons,positive,not informed,na,yes,yes,no_3,,single sps,data provided by authors,pair-wise combination,219_02,not informed,NA,NA,NA,NA,20.00,20.00,NA,NA,2.00,14.00,18.00,6.00,odds,no,ok,na,na
marina,camila,82_11,219,219,219,219_03,Armas_&_Pugnaire_2009,10.1111/j.1654-1103.2009.01055.x,2009,jan/2002,2_growing_seasons_after_jan/2002,"Almeria, Spain",Spain,36°41'N,02°42'W,"36,685","-2,7",not informed,temperate,dry mediteranean,mediterranean,220,220,"0,159",top of stabilized dune (open shrub),2,isolated,Pistacia lentiscus,pistacia lentiscus,,Anacardiaceae,anacardiaceae,,shrub,shrub,woody,not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:70253-1#distribution-map),native_country,native,adult,Juniperus phoenicea subsp. turbinata,juniperus phoenicea,,Cupressaceae,cupressaceae,,shrub,shrub,woody,not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:262307-1),native_country,native,seedling,seedling,seedling,1,1,adult_seedling,inter,survival,survival,experimental,2 growing seasons,positive,not informed,na,yes,yes,no_3,,single sps,data provided by authors,pair-wise combination,219_01,not informed,NA,NA,NA,NA,36.00,36.00,NA,NA,3.00,14.00,33.00,22.00,odds,no,ok,na,na
marina,camila,82_11,219,219,219,219_04,Armas_&_Pugnaire_2009,10.1111/j.1654-1103.2009.01055.x,2009,jan/2002,2_growing_seasons_after_jan/2002,"Almeria, Spain",Spain,36°41'N,02°42'W,"36,685","-2,7",not informed,temperate,dry mediteranean,mediterranean,220,220,"0,159",top of stabilized dune (open shrub),2,isolated,Pistacia lentiscus,pistacia lentiscus,,Anacardiaceae,anacardiaceae,,shrub,shrub,woody,not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:70253-1#distribution-map),native_country,native,adult,Pistacia lentiscus,pistacia lentiscus,,Anacardiaceae,anacardiaceae,,shrub,shrub,woody,not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:70253-1#distribution-map),native_country,native,seedling,seedling,seedling,1,1,adult_seedling,intra,survival,survival,experimental,2 growing seasons,neutral,not informed,na,yes,yes,yes,,single sps,data provided by authors,pair-wise combination,219_02,not informed,NA,NA,NA,NA,20.00,20.00,NA,NA,2.00,6.00,18.00,14.00,odds,no,ok,na,na
marina,camila,78_10,223,223,223,223_19,Forey_et_al._2009,10.1111/j.1654-1103.2009.01095.x,2009,apr/2004,apr/2004,"Aquitaine, France (north)",France,45°26'N,01°08'W,"45,433","-1,133",not informed,temperate,temperate oceanic,oceanic,750,750,"0,842",greydune,2,isolated_obs,Helichrysum stoechas,helichrysum stoechas,,not informed,completar,,forb,forb,herb,not informed (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:213364-1#distribution-map),native_country,native,adult,several,several,,not informed,several,,all understory,several,several,"not informed, probably mostly native",impossible_to_know,impossible_to_know,not informed,several,several,,,,inter,abundance (density),abundance,observational,30,neutral,2004,na,yes,yes,no_1,,,figure 1,different performance estimator and/or different part of dune and/or different pair-wise combination,223_07,223_07,62.30,71.40,40.16,33.38,32.00,32.00,7.10,5.90,NA,NA,NA,NA,hedges_d,no,ok,na,na
marina,camila,78_10,223,223,223,223_21,Forey_et_al._2009,10.1111/j.1654-1103.2009.01095.x,2009,apr/2004,apr/2004,"Aquitaine, France (north)",France,45°26'N,01°08'W,"45,433","-1,133",not informed,temperate,temperate oceanic,oceanic,750,750,"0,842",greydune,2,isolated_obs,Helichrysum stoechas,helichrysum stoechas,,not informed,completar,,forb,forb,herb,not informed (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:213364-1#distribution-map),native_country,native,adult,several,several,,not informed,several,,all understory,several,several,"not informed, probably mostly native",impossible_to_know,impossible_to_know,not informed,several,several,,,,inter,richness,diversity,observational,30,neutral,2004,na,yes,yes,no_1,,,figure 1,different performance estimator and/or different part of dune and/or different pair-wise combination,223_07,223_07,6.93,7.04,1.92,1.75,32.00,32.00,0.34,0.31,NA,NA,NA,NA,hedges_d,no,ok,na,na
